id,time,allocated,idle,other,total
380,2021-03-14 16:42:41,7271,6129,160,13560
381,2021-03-14 16:57:41,7281,6119,160,13560
382,2021-03-14 17:12:41,7118,6282,160,13560
383,2021-03-14 17:27:41,7379,6021,160,13560
384,2021-03-14 17:42:41,7354,6046,160,13560
385,2021-03-14 17:57:41,7316,6084,160,13560
386,2021-03-14 18:12:41,7253,6147,160,13560
387,2021-03-14 18:27:41,7455,5945,160,13560
388,2021-03-14 18:42:41,7339,6061,160,13560
389,2021-03-14 18:57:41,7285,6115,160,13560
390,2021-03-14 19:12:41,7267,6133,160,13560
391,2021-03-14 19:27:41,7176,6224,160,13560
392,2021-03-14 19:42:41,7201,6199,160,13560
393,2021-03-14 19:57:41,6688,6712,160,13560
394,2021-03-14 20:12:41,6940,6460,160,13560
395,2021-03-14 20:27:41,6842,6558,160,13560
396,2021-03-14 20:42:41,6750,6650,160,13560
397,2021-03-14 20:57:41,6897,6503,160,13560
398,2021-03-14 21:12:41,6714,6686,160,13560
399,2021-03-14 21:27:41,6737,6663,160,13560
400,2021-03-14 21:42:41,6817,6583,160,13560
401,2021-03-14 21:57:41,6548,6852,160,13560
402,2021-03-14 22:12:41,6654,6746,160,13560
403,2021-03-14 22:27:42,6664,6736,160,13560
404,2021-03-14 22:42:42,6599,6801,160,13560
405,2021-03-14 22:57:42,6543,6857,160,13560
406,2021-03-14 23:12:42,6613,6787,160,13560
407,2021-03-14 23:27:42,6709,6691,160,13560
408,2021-03-14 23:42:42,6592,6808,160,13560
409,2021-03-14 23:57:42,6882,6518,160,13560
410,2021-03-15 00:12:42,6833,6567,160,13560
411,2021-03-15 00:27:42,6865,6535,160,13560
412,2021-03-15 00:42:42,6783,6617,160,13560
413,2021-03-15 00:57:42,6787,6613,160,13560
414,2021-03-15 01:12:42,6730,6670,160,13560
415,2021-03-15 01:27:42,6749,6651,160,13560
416,2021-03-15 01:42:42,6719,6681,160,13560
417,2021-03-15 01:57:42,6619,6781,160,13560
418,2021-03-15 02:12:42,6433,6967,160,13560
419,2021-03-15 02:27:42,6168,7232,160,13560
420,2021-03-15 02:42:42,6111,7289,160,13560
421,2021-03-15 02:57:42,6070,7330,160,13560
422,2021-03-15 03:12:42,6110,7290,160,13560
423,2021-03-15 03:27:42,6110,7290,160,13560
424,2021-03-15 03:42:42,6077,7323,160,13560
425,2021-03-15 03:57:43,5947,7453,160,13560
426,2021-03-15 04:12:43,5918,7482,160,13560
427,2021-03-15 04:27:43,5921,7479,160,13560
428,2021-03-15 04:42:43,5891,7509,160,13560
429,2021-03-15 04:57:43,5694,7706,160,13560
430,2021-03-15 05:12:43,5674,7726,160,13560
431,2021-03-15 05:27:43,5673,7727,160,13560
432,2021-03-15 05:42:43,5623,7777,160,13560
433,2021-03-15 05:57:43,5600,7800,160,13560
434,2021-03-15 06:12:43,5587,7813,160,13560
435,2021-03-15 06:27:43,5588,7812,160,13560
436,2021-03-15 06:42:43,5588,7812,160,13560
437,2021-03-15 06:57:43,5720,7680,160,13560
438,2021-03-15 07:12:43,5675,7725,160,13560
439,2021-03-15 07:27:43,5799,7601,160,13560
440,2021-03-15 07:42:43,5799,7601,160,13560
441,2021-03-15 07:57:43,5806,7594,160,13560
442,2021-03-15 08:12:43,5780,7620,160,13560
443,2021-03-15 08:27:43,5819,7581,160,13560
444,2021-03-15 08:42:43,5859,7541,160,13560
445,2021-03-15 08:57:43,6033,7367,160,13560
446,2021-03-15 09:12:43,5962,7414,184,13560
447,2021-03-15 09:27:43,5896,7480,184,13560
448,2021-03-15 09:42:43,6107,7293,160,13560
449,2021-03-15 09:57:44,6018,7382,160,13560
450,2021-03-15 10:12:44,6082,7318,160,13560
451,2021-03-15 10:27:44,6110,7290,160,13560
452,2021-03-15 10:42:44,6818,6582,160,13560
453,2021-03-15 10:57:44,6775,6625,160,13560
454,2021-03-15 11:12:44,6651,6725,184,13560
455,2021-03-15 11:27:44,6768,6632,160,13560
456,2021-03-15 11:42:44,6744,6704,112,13560
457,2021-03-15 11:57:44,6824,6624,112,13560
458,2021-03-15 12:12:44,6897,6551,112,13560
459,2021-03-15 12:27:44,7175,6273,112,13560
460,2021-03-15 12:42:44,7181,6267,112,13560
461,2021-03-15 12:57:44,7254,6194,112,13560
462,2021-03-15 13:12:44,7175,6273,112,13560
463,2021-03-15 13:27:44,7593,5855,112,13560
464,2021-03-15 13:42:44,7614,5834,112,13560
465,2021-03-15 13:57:44,7663,5785,112,13560
466,2021-03-15 14:12:44,7605,5843,112,13560
467,2021-03-15 14:27:44,7618,5830,112,13560
468,2021-03-15 14:42:44,7564,5884,112,13560
469,2021-03-15 14:57:44,7674,5774,112,13560
470,2021-03-15 15:12:44,7660,5788,112,13560
471,2021-03-15 15:27:44,7770,5678,112,13560
472,2021-03-15 15:42:45,7817,5631,112,13560
473,2021-03-15 15:57:45,7633,5815,112,13560
474,2021-03-15 16:12:45,7765,5683,112,13560
475,2021-03-15 16:27:45,7976,5472,112,13560
476,2021-03-15 16:42:45,8360,5088,112,13560
477,2021-03-15 16:57:45,8210,5238,112,13560
478,2021-03-15 17:12:45,8068,5380,112,13560
479,2021-03-15 17:27:45,8025,5423,112,13560
480,2021-03-15 17:42:45,8035,5413,112,13560
481,2021-03-15 17:57:45,8023,5425,112,13560
482,2021-03-15 18:12:45,8095,5353,112,13560
483,2021-03-15 18:27:45,7982,5466,112,13560
484,2021-03-15 18:42:45,7973,5475,112,13560
485,2021-03-15 18:57:45,7897,5551,112,13560
486,2021-03-15 19:12:45,7903,5545,112,13560
487,2021-03-15 19:27:45,7701,5747,112,13560
488,2021-03-15 19:42:45,7709,5739,112,13560
489,2021-03-15 19:57:45,7693,5755,112,13560
490,2021-03-15 20:12:45,7711,5737,112,13560
491,2021-03-15 20:27:45,7696,5752,112,13560
492,2021-03-15 20:42:45,7734,5714,112,13560
493,2021-03-15 20:57:45,7794,5654,112,13560
494,2021-03-15 21:12:46,7752,5696,112,13560
495,2021-03-15 21:27:46,7685,5763,112,13560
496,2021-03-15 21:42:46,7680,5768,112,13560
497,2021-03-15 21:57:46,8142,5306,112,13560
498,2021-03-15 22:12:46,8151,5297,112,13560
499,2021-03-15 22:27:46,8086,5362,112,13560
500,2021-03-15 22:42:46,8101,5347,112,13560
501,2021-03-15 22:57:46,8101,5347,112,13560
502,2021-03-15 23:12:46,8227,5221,112,13560
503,2021-03-15 23:27:46,8430,5018,112,13560
504,2021-03-15 23:42:46,8381,5067,112,13560
505,2021-03-15 23:57:46,8139,5309,112,13560
506,2021-03-16 00:12:46,8166,5282,112,13560
507,2021-03-16 00:27:46,8257,5191,112,13560
508,2021-03-16 00:42:46,7986,5462,112,13560
509,2021-03-16 00:57:46,8201,5247,112,13560
510,2021-03-16 01:12:46,8134,5314,112,13560
511,2021-03-16 01:27:46,8235,5213,112,13560
512,2021-03-16 01:42:46,8106,5342,112,13560
513,2021-03-16 01:57:46,8058,5390,112,13560
514,2021-03-16 02:12:46,7940,5508,112,13560
515,2021-03-16 02:27:46,7889,5559,112,13560
516,2021-03-16 02:42:46,7866,5582,112,13560
517,2021-03-16 02:57:46,7887,5561,112,13560
518,2021-03-16 03:12:46,7549,5899,112,13560
519,2021-03-16 03:27:46,7691,5757,112,13560
520,2021-03-16 03:42:46,7700,5748,112,13560
521,2021-03-16 03:57:46,7633,5815,112,13560
522,2021-03-16 04:12:46,7641,5807,112,13560
523,2021-03-16 04:27:46,7703,5745,112,13560
524,2021-03-16 04:42:46,7595,5853,112,13560
525,2021-03-16 04:57:46,7647,5801,112,13560
526,2021-03-16 05:12:47,7516,5932,112,13560
527,2021-03-16 05:27:47,7430,6018,112,13560
528,2021-03-16 05:42:47,7273,6175,112,13560
529,2021-03-16 05:57:47,7280,6168,112,13560
530,2021-03-16 06:12:47,7238,6210,112,13560
531,2021-03-16 06:27:47,7214,6234,112,13560
532,2021-03-16 06:42:47,6961,6487,112,13560
533,2021-03-16 06:57:47,7000,6448,112,13560
534,2021-03-16 07:12:47,6964,6484,112,13560
535,2021-03-16 07:27:47,6924,6524,112,13560
536,2021-03-16 07:42:47,6906,6542,112,13560
